Primary Energy Consumed by the Residential Sector,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Total Energy Consumed by the Industrial Sector,Primary Energy Consumed by the Transportation Sector,Total Energy Consumed by the Transportation Sector,Primary Energy Consumed by the Electric Power Sector
1003.088,1692.701,508.213,1035.578,2159.852,2978.896,1768.665,1771.69,2039.047
1243.537,2087.712,652.366,1217.848,2221.812,3046.493,1736.055,1739.367,2237.651
1242.258,1987.811,645.78,1148.996,1857.958,2601.203,1669.22,1671.974,1994.768
942.975,1608.938,502.71,995.691,1933.132,2716.638,1833.211,1835.958,1945.198
682.686,1240.043,369.419,829.144,1793.999,2572.446,1650.616,1653.147,1798.06
491.742,1030.974,272.952,765.782,1970.01,2816.628,1738.592,1741.283,1881.371
370.212,956.854,215.857,750.387,1912.086,2763.461,1674.656,1677.392,1975.284
328.246,1038.818,192.819,780.939,1937.419,2798.07,1659.04,1661.98,2162.284
326.347,1087.877,197.128,788.034,2027.441,2872.964,1743.57,1746.596,2200.984
330.04,973.422,202.778,727.181,1960.939,2726.214,1628.985,1631.795,1935.87
444.419,1016.045,263.347,779.738,2188.98,3014.256,1735.36,1738.242,1916.175
627.707,1205.234,359.719,855.849,2162.082,2974.3,1642.999,1645.91,1888.785
888.74,1576.952,490.968,1009.706,2226.201,3023.08,1724.954,1727.893,2006.768
1051.683,1826.947,561.73,1102.43,2162.732,2957.907,1679.975,1683.412,2114.576
1061.133,1779.042,555.977,1061.492,1896.368,2658.723,1626.026,1629.048,1988.801
915.095,1603.835,479.81,986.711,1961.605,2748.129,1687.585,1690.604,1985.185
637.93,1209.233,337.577,799.022,1734.641,2484.338,1674.912,1677.628,1785.161
467.967,1016.289,250.653,750.53,1788.551,2595.274,1653.083,1656.148,1857.988
365.813,1003.445,209.245,765.708,1702.985,2517.169,1587.224,1590.303,2011.359
307.459,1163.408,178.998,821.063,1686.134,2503.659,1641.318,1644.729,2318.95
288.127,1168.734,173.449,804.422,1695.361,2486.699,1597.687,1600.924,2306.155
312.789,1041.657,195.086,756.043,1832.607,2578.643,1591.445,1594.546,2038.964
439.423,1043.756,265.636,784.572,2035.541,2812.166,1676.766,1679.806,1902.933
637.694,1226.25,368.526,878.078,1986.506,2773.898,1541.482,1544.591,1888.61
953.685,1670.298,528.616,1071.372,2110.658,2918.559,1699.934,1703.29,2070.626
1174.827,2014.965,616.398,1189.09,1967.417,2728.047,1705.613,1708.834,2176.681
991.369,1683.398,499.186,1001.534,1590.369,2293.368,1507.877,1510.657,1900.157
787.885,1440.933,404.505,929.019,1823.64,2600.476,1639.094,1642.089,1957.393
537.055,1108.806,281.973,778.621,1634.294,2399.475,1592.15,1594.921,1836.351
429.705,996.568,229.946,767.594,1752.369,2558.023,1617.244,1620.232,1913.153
328.956,1011.218,188.283,804.96,1659.204,2529.46,1647.729,1650.824,2172.29
293.769,1125.714,169.529,833.334,1725.833,2578.251,1670.817,1674,2351.351
286.7,1086.1,183.101,818.557,1756.884,2575.742,1632.938,1635.993,2256.77
298.618,951.551,186.048,761.759,1758.577,2517.445,1593.675,1596.553,1990.389
456.553,1049.961,269.243,817.339,1889.943,2664.389,1614.494,1617.451,1918.907
